,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,¿Para qué usas el internet?.1,¿Para qué usas el internet?.2,¿Para qué usas el internet?.3,¿Para qué usas el internet?.4,Selecciona las redes sociales que utilizas en tu día a día,Selecciona las redes sociales que utilizas en tu día a día.1,Selecciona las redes sociales que utilizas en tu día a día.2,Selecciona las redes sociales que utilizas en tu día a día.3,Selecciona las redes sociales que utilizas en tu día a día.4,Selecciona las redes sociales que utilizas en tu día a día.5,Selecciona las plataformas de streaming que utilizas en tu día a día,Selecciona las plataformas de streaming que utilizas en tu día a día.1,Selecciona las plataformas de streaming que utilizas en tu día a día.2,Selecciona las plataformas de streaming que utilizas en tu día a día.3,Selecciona las plataformas de streaming que utilizas en tu día a día.4,Selecciona las plataformas de streaming que utilizas en tu día a día.5,Selecciona las plataformas de streaming que utilizas en tu día a día.6,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Selecciona las plataformas educativas que utilizas en tu día a día.1,Selecciona las plataformas educativas que utilizas en tu día a día.2,Selecciona las plataformas educativas que utilizas en tu día a día.3,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,¿Qué páginas usas para tus estudios?.1,¿Qué páginas usas para tus estudios?.2,¿Qué páginas usas para tus estudios?.3,¿Qué páginas usas para tus estudios?.4,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..1,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..2,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..3,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..4,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,¿Fuiste víctima de alguna de estas opciones?.1,¿Fuiste víctima de alguna de estas opciones?.2,¿Fuiste víctima de alguna de estas opciones?.3,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,¿Cuáles medidas tomas?.1,¿Cuáles medidas tomas?.2,¿Cuáles medidas tomas?.3,¿Cuáles medidas tomas?.4,¿Cuáles medidas tomas?.5,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
0,11/11/2021 13:12:00,28,29,30,31,32,33,,,,,34,,,,,,Claro Video,,,,,,,3-4 horas,37,38,,,,88,40,36,24,14,67,,,,Comunicación entre profesores y estudiantes,44,17,18,106,,,,24,34,,,,,21,24,49,74,,,24,24,24,75,24,52,24,24,26,77,97,,,,78
1,18/11/2021 19:57:06,28,2,Ingeniería,4,5,Redes Sociales,,,,,6,34,61,,,,7,35,Claro Video,102,,,,8,103,103,,,,Navegación web,40,36,24,42,,,,,Comunicación entre profesores y estudiantes,69,70,18,71,92,,,40,,,,,,,,,,,,24,40,40,108,24,96,24,40,,,,,,,98
2,18/11/2021 19:58:56,28,2,3,31,32,Redes Sociales,33,82,56,,6,34,61,,,,7,35,113,,,,,8,103,38,,,,11,40,8,40,,,,,,,69,70,92,,,,,24,6,34,61,,,93,40,49,,,,24,40,24,75,24,52,24,24,53,77,110,,,,54
3,18/11/2021 19:59:28,55,2,3,31,32,Redes Sociales,33,,,,6,34,61,TikTok,,,7,35,102,,,,,1-2 horas,103,38,,,,11,40,63,40,,,,,,,69,56,92,,,,,24,34,61,,,,21,40,103,,,,40,,,95,40,52,24,40,,,,,,,54
4,18/11/2021 20:00:32,1,2,3,31,32,Redes Sociales,33,60,82,,34,61,,,,,7,35,113,,,,,85,64,56,,,,11,24,63,24,42,89,,,,90,69,45,18,92,,,,40,,,,,,,,,,,,24,40,40,50,40,96,24,24,26,77,97,110,Tapar tu cámara cuando no la estés usando,,54
5,18/11/2021 20:03:02,1,2,3,31,32,Redes Sociales,33,82,,,6,34,61,TikTok,,,7,84,,,,,,1-2 horas,103,10,,,,Navegación web,24,63,24,14,67,,,,Comunicación entre profesores y estudiantes,91,56,92,106,115,,,24,6,34,,,,73,40,74,,,,24,40,24,75,40,109,40,24,53,77,97,110,Tapar tu cámara cuando no la estés usando,,98
6,18/11/2021 20:05:11,28,2,Ingeniería,4,59,Redes Sociales,33,60,56,,34,TikTok,56,,,,7,35,102,113,,,,85,Play Station,103,,,,66,40,63,40,,,,,,,69,45,46,92,,,,40,,,,,,,,,,,,24,24,40,108,40,109,24,40,,,,,,,27
7,18/11/2021 20:08:39,55,29,3,58,32,Redes Sociales,56,,,,6,34,,,,,103,,,,,,,8,103,103,,,,Navegación web,40,36,24,56,,,,,90,69,56,92,106,115,,,24,6,,,,,93,40,49,,,,24,40,40,108,24,109,24,40,,,,,,,98
8,18/11/2021 20:08:54,55,2,3,31,5,Redes Sociales,,,,,34,,,,,,7,35,102,,,,,1-2 horas,Play Station,38,,,,Navegación web,40,36,40,,,,,,,91,56,71,92,115,,,40,,,,,,,,,,,,24,40,24,108,40,25,40,40,,,,,,,54
9,18/11/2021 20:09:27,1,56,56,31,59,Redes Sociales,82,,,,6,TikTok,,,,,7,,,,,,,3-4 horas,64,56,,,,Navegación web,24,36,24,14,67,56,,,90,91,17,92,,,,,24,6,61,,,,93,40,103,,,,24,40,40,108,40,109,24,24,26,97,110,,,,54
10,18/11/2021 20:09:45,55,2,30,31,32,Redes Sociales,33,,,,6,34,61,,,,7,,,,,,,3-4 horas,103,103,,,,11,40,36,40,,,,,,,69,56,18,92,115,,,40,,,,,,,,,,,,40,,,108,24,96,24,24,97,110,Tapar tu cámara cuando no la estés usando,,,,54
11,18/11/2021 20:13:53,55,29,56,4,32,Redes Sociales,,,,,34,56,,,,,7,,,,,,,1-2 horas,64,103,,,,Navegación web,40,36,24,14,42,,,,43,44,56,92,115,,,,24,6,34,,,,93,40,103,,,,24,40,40,95,24,109,24,40,,,,,,,54
