,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Selecciona las redes sociales que utilizas en tu día a día,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Selecciona las plataformas de streaming que utilizas en tu día a día,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Unnamed: 27,Unnamed: 28,Unnamed: 29,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,Unnamed: 56,Unnamed: 57,Unnamed: 58,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
0,11/11/2021 13:12:00,2,5,7,13,18,22,,,,,27,,,,,,34,,,,,,,41,44,48,,,,53,56,58,61,63,65,,,,69,72,76,79,83,,,,61,27,,,,,86,61.0,91,92,,,55,55.0,55.0,98,101,104,101,101,108,110,111,,,,117
1,18/11/2021 19:57:06,2,4,9,12,17,21,,,,,26,27,28,,,,32,33,34,36,,,,39,38,38,,,,51,56,58,61,64,,,,,69,73,78,79,81,82,,,62,,,,,,,,,,,,55,56.0,56.0,100,101,106,101,102,,,,,,,118
2,18/11/2021 19:58:56,2,4,6,13,18,21,22,24,25,,26,27,28,,,,32,33,37,,,,,39,38,48,,,,50,56,39,62,,,,,,,73,78,82,,,,,61,26,27,28,,,89,62.0,91,,,,55,56.0,55.0,98,101,104,101,101,109,110,112,,,,116
3,18/11/2021 19:59:28,3,4,6,13,18,21,22,,,,26,27,28,29,,,32,33,36,,,,,40,38,48,,,,50,56,59,62,,,,,,,73,20,82,,,,,61,27,28,,,,86,62.0,95,,,,56,,,99,102,104,101,102,,,,,,,116
4,18/11/2021 20:00:32,1,4,6,13,18,21,22,23,24,,27,28,,,,,32,33,37,,,,,42,45,25,,,,50,55,59,61,64,66,,,,70,73,77,79,82,,,,62,,,,,,,,,,,,55,56.0,56.0,97,102,106,101,101,108,110,111,112,113,,116
5,18/11/2021 20:03:02,1,4,6,13,18,21,22,24,,,26,27,28,29,,,32,35,,,,,,40,38,47,,,,51,55,59,61,63,65,,,,69,74,20,82,83,84,,,61,26,27,,,,88,62.0,92,,,,55,56.0,55.0,98,102,107,102,101,109,110,111,112,113,,118
6,18/11/2021 20:05:11,2,4,9,12,19,21,22,23,25,,27,29,31,,,,32,33,36,37,,,,42,46,38,,,,52,56,59,62,,,,,,,73,77,80,82,,,,62,,,,,,,,,,,,55,55.0,56.0,100,102,107,101,102,,,,,,,115
7,18/11/2021 20:08:39,3,5,6,14,18,21,25,,,,26,27,,,,,38,,,,,,,39,38,38,,,,51,56,58,61,25,,,,,70,73,20,82,83,84,,,61,26,,,,,89,62.0,91,,,,55,56.0,56.0,100,101,107,101,102,,,,,,,118
8,18/11/2021 20:08:54,3,4,6,13,17,21,,,,,27,,,,,,32,33,36,,,,,40,46,48,,,,51,56,58,62,,,,,,,74,20,81,82,84,,,62,,,,,,,,,,,,55,56.0,55.0,100,102,103,102,102,,,,,,,116
9,18/11/2021 20:09:27,1,11,11,13,19,21,24,,,,26,29,,,,,32,,,,,,,41,45,25,,,,51,55,58,61,63,65,25,,,70,74,76,82,,,,,61,26,28,,,,89,62.0,95,,,,55,56.0,56.0,100,102,107,101,101,108,111,112,,,,116
10,18/11/2021 20:09:45,3,4,7,13,18,21,22,,,,26,27,28,,,,32,,,,,,,41,38,38,,,,50,56,58,62,,,,,,,73,20,79,82,84,,,62,,,,,,,,,,,,56,,,100,101,106,101,101,111,112,113,,,,116
